"companykey","flagkey","productkey","installmentkey","vendorkey","transactions","tpv","mdr","interchange","assessment","dia","acquirerkey","typekey","affiliationkey","facttpvkey","transactiondate"
"2","2","1","1","578","42","2494.12","33.25","19.95","0.74","12.56","11","1","154045","3259874","20131026"
"2","1","2","2","681","2","45.0","1.51","0.38","0.1","1.03","11","1","36408","2932420","20131026"
"2","1","1","1","713","3","167.7","3.54","1.62","0.26","1.6600000000000001","11","1","25845","2942622","20131026"
"2","2","1","1","1","27","1109.19","14.2","8.88","0.39","4.93","11","1","179143","2920323","20131026"
"2","2","1","1","681","2","74.98","1.63","0.75","0.03","0.85","11","1","199490","3201312","20131026"
"2","2","1","1","708","14","288.51","6.75","1.44","0.14","5.17","11","1","175349","3285785","20131026"
"2","1","1","1","392","3","53.09","0.86","0.30000000000000004","0.13","0.43","11","1","95767","3329256","20131026"
"2","2","2","2","619","1","926.81","18.44","17.61","1.16","-0.33","11","1","160085","3182926","20131026"
"2","1","2","2","656","2","259.0","6.45","2.18","0.35000000000000003","3.92","11","1","147385","3186623","20131026"
"2","1","2","3","714","2","1474.0","64.11","26.16","1.87","36.08","11","1","109705","2905339","20131026"
"2","2","2","2","656","1","12.99","0.34","0.17","0.06","0.11","11","1","94544","3019022","20131026"
"2","2","2","2","578","2","57.5","2.09","0.75","0.16","1.18","11","1","182915","3218650","20131026"
"2","2","1","1","713","5","129.0","2.9699999999999998","1.23","0.06","1.6800000000000002","11","1","143246","2960296","20131026"
"2","2","2","4","66","1","672.78","15.12","14.4","1.32","-0.6000000000000001","11","1","278372","3231747","20131026"
"2","2","2","2","1","2","1133.4","31.73","21.54","1.45","8.74","11","1","121857","2913603","20131026"
"2","2","2","2","656","3","140.0","4.19","1.83","0.30000000000000004","2.06","11","1","17353","3042561","20131026"
"2","1","1","1","714","1","15.85","0.27","0.15","0.04","0.08","11","1","137369","2970780","20131026"
"2","2","2","2","552","1","49.1","1.28","0.64","0.1","0.54","11","1","43192","3297674","20131026"
"2","2","1","1","656","5","58.26","1.13","0.58","0.04","0.51","11","1","79591","3035049","20131026"
"2","1","1","1","372","4","227.0","2.16","1.73","0.35000000000000003","0.08","11","1","107444","3248571","20131026"
"2","2","1","1","578","40","2260.68","26.09","18.08","0.68","7.33","11","1","214254","3098776","20131026"
"2","1","2","2","99","112","11340.52","198.45","187.66","26.8","-16.01","11","1","66073","3227601","20131026"
"2","2","2","4","681","8","8029.75","338.96","171.8","13.06","154.1","11","1","166221","2817732","20131026"
"2","2","1","1","681","1","26.9","0.51","0.27","0.01","0.23","11","1","96695","2863654","20131026"
"2","2","1","1","552","2","390.0","7.1","3.9","0.09","3.11","11","1","89730","3144694","20131026"
"2","2","2","2","1","2","23.89","0.59","0.45","0.12","0.02","11","1","70979","3233656","20131026"
"2","1","2","2","578","6","47.25","1.3","0.64","0.19","0.47000000000000003","11","1","95834","2848773","20131026"
"2","2","2","3","578","2","640.5","25.14","11.91","1.05","12.18","11","1","170147","3095137","20131026"
"2","1","2","2","713","4","142.0","4.88","1.9500000000000002","0.25","2.68","11","1","208959","3214311","20131026"
