"companykey","flagkey","productkey","installmentkey","vendorkey","transactions","tpv","mdr","interchange","assessment","dia","acquirerkey","typekey","affiliationkey","facttpvkey","transactiondate"
"2","2","2","2","656","6","107.92","2.91","1.03","0.4","1.48","11","1","26761","394463","20130319"
"2","1","1","1","708","9","395.63","7.12","2.25","0.59","4.28","11","1","212462","378243","20130319"
"2","2","1","1","690","2","56.1","1.19","0.56","0.02","0.61","11","1","17543","352743","20130319"
"2","1","1","1","578","2","45.97","0.98","0.35000000000000003","0.08","0.55","11","1","213160","417637","20130319"
"2","1","1","1","81","15","2462.5","34.25","23.89","3.16","7.2","11","1","28399","381161","20130319"
"2","1","1","1","71","118","4243.33","31.85","19.1","6.68","6.07","11","1","74175","399355","20130319"
"2","1","2","2","372","14","676.5","9.41","10.78","1.0","-2.37","11","1","120053","493012","20130319"
"2","2","2","2","713","36","3749.9","82.52","34.6","8.93","38.99","11","1","217691","339631","20130319"
"2","1","2","2","578","5","72.01","1.9","1.24","0.15","0.51","11","1","113877","429532","20130319"
"2","2","2","2","552","8","631.76","16.12","8.69","1.12","6.31","11","1","206509","445831","20130319"
"2","2","1","1","578","1","174.0","3.79","1.74","0.04","2.01","11","1","224712","416289","20130319"
"2","1","2","3","578","2","490.0","15.92","8.88","0.64","6.4","11","1","321147","405452","20130319"
"2","2","1","1","81","1","96.0","1.33","0.96","0.02","0.35000000000000003","11","1","51469","388676","20130319"
"2","1","1","1","1","8","2646.6","42.34","26.53","7.58","8.23","11","1","176936","459610","20130319"
"2","2","2","3","578","3","573.72","18.19","10.82","1.06","6.31","11","1","47640","437698","20130319"
"2","1","2","2","578","1","70.0","2.38","1.3","0.1","0.98","11","1","129269","309803","20130319"
"2","2","1","1","708","1","6.5","0.12","0.03","0.01","0.08","11","1","124904","364757","20130319"
"2","1","1","1","578","4","484.2","8.71","4.7","0.64","3.37","11","1","60029","410302","20130319"
"2","1","1","1","1","3","181.75","3.63","1.76","0.26","1.6099999999999999","11","1","158370","319571","20130319"
"2","1","1","1","681","1","50.0","1.06","0.55","0.07","0.44","11","1","191926","494135","20130319"
"2","1","1","1","578","31","191.0","3.35","1.8599999999999999","0.65","0.84","11","1","60441","303589","20130319"
"2","1","1","1","84","4","130.0","1.82","1.26","0.21","0.35000000000000003","11","1","83334","356578","20130319"
"2","2","2","3","578","1","65.0","1.8900000000000001","1.2","0.21","0.48","11","1","137912","432653","20130319"
"2","2","1","1","1","3","76.61","1.49","0.77","0.03","0.6900000000000001","11","1","151925","390400","20130319"
"2","2","2","3","578","1","471.0","17.52","8.76","0.84","7.92","11","1","68114","412919","20130319"
"2","2","2","2","628","1","47.5","1.25","0.62","0.1","0.53","11","1","177404","310813","20130319"
"2","2","2","2","578","1","19.0","0.48","0.25","0.07","0.16","11","1","125066","429911","20130319"
"2","1","2","2","708","10","208.35","6.25","3.12","0.38","2.75","11","1","187974","365956","20130319"
"2","2","1","1","1","2","32.72","0.59","0.16","0.02","0.41000000000000003","11","1","50353","302867","20130319"
"2","1","1","1","538","40","2247.23","28.18","17.08","3.25","7.85","11","1","59020","448647","20130319"
"2","1","2","2","656","13","175.98","5.99","1.48","0.38","4.13","11","1","120597","396835","20130319"
"2","1","1","1","712","4","29.1","0.5","0.28","0.08","0.14","11","1","209659","334734","20130319"
"2","1","2","2","708","3","91.9","2.43","1.71","0.15","0.5700000000000001","11","1","63110","372150","20130319"
"2","2","2","2","578","2","264.8","8.16","3.44","0.41000000000000003","4.31","11","1","202256","415330","20130319"
"2","2","1","1","656","1","25.0","0.49","0.25","0.01","0.23","11","1","21927","394279","20130319"
"2","1","1","1","578","2","138.0","2.39","1.34","0.19","0.86","11","1","52571","415371","20130319"
"2","2","1","1","1","1","54.5","1.04","0.55","0.02","0.47000000000000003","11","1","132831","479135","20130319"
"2","1","2","2","708","8","136.58","3.49","1.92","0.27","1.3","11","1","87836","346219","20130319"
"2","2","1","1","656","5","136.69","2.31","0.68","0.06","1.57","11","1","48237","382127","20130319"
"2","2","2","3","81","11","3638.59","97.83","67.67","6.16","24.0","11","1","202246","387134","20130319"
"2","2","2","3","578","1","885.0","30.16","16.48","1.24","12.44","11","1","116093","431510","20130319"
"2","1","1","1","578","3","92.3","1.6600000000000001","0.89","0.15","0.62","11","1","87453","492508","20130319"
"2","1","2","2","578","2","79.0","2.56","0.98","0.12","1.46","11","1","114642","409045","20130319"
"2","2","1","1","84","15","731.96","9.9","5.86","0.23","3.81","11","1","35811","348391","20130319"
"2","1","2","2","708","1","16.0","0.43","0.2","0.03","0.2","11","1","74092","364849","20130319"
"2","1","1","1","578","1","0.75","0.01","0.0","0.01","0.0","11","1","65735","494217","20130319"
"2","2","1","1","708","3","57.12","0.9500000000000001","0.29","0.03","0.63","11","1","30111","371089","20130319"
"2","2","1","1","538","1","22.5","0.39","0.11","0.01","0.27","11","1","134263","454026","20130319"
"2","1","2","2","681","1","23.5","0.8","0.25","0.04","0.51","11","1","192383","315971","20130319"
"2","2","2","2","609","2","13.45","0.36","0.13","0.11","0.12","11","1","212816","318133","20130319"
"2","1","1","1","578","1","35.7","0.59","0.35000000000000003","0.06","0.18","11","1","171369","403635","20130319"
"2","1","2","2","619","107","5769.07","112.6","81.1","8.36","23.14","11","1","125608","456869","20130319"
"2","1","1","1","681","1","11.0","0.25","0.11","0.03","0.11","11","1","49061","501296","20130319"
"2","2","1","1","1","13","373.92","4.9","1.87","0.15","2.88","11","1","217818","335154","20130319"
"2","2","1","1","65","2","84.0","1.18","0.84","0.03","0.31","11","1","38689","474108","20130319"
"2","1","1","1","606","4","92.27","1.65","0.53","0.16","0.96","11","1","185455","461137","20130319"
"2","1","1","1","1","4","88.03","1.23","0.86","0.16","0.21","11","1","108692","469234","20130319"
"2","1","1","1","1","2","68.41","1.51","0.66","0.11","0.74","11","1","123916","296176","20130319"
"2","1","2","2","552","13","458.35","14.54","6.99","0.72","6.83","11","1","162412","443634","20130319"
"2","2","2","2","578","2","121.0","3.0","1.15","0.24","1.6099999999999999","11","1","200110","311587","20130319"
"2","2","2","2","656","5","88.61","2.31","0.84","0.33","1.1400000000000001","11","1","18814","398638","20130319"
"2","1","1","1","578","4","44.44","0.88","0.43","0.11","0.34","11","1","47888","312284","20130319"
"2","2","2","2","552","5","100.3","2.65","1.7000000000000002","0.34","0.61","11","1","80506","449102","20130319"
"2","1","1","1","578","3","123.7","1.98","0.71","0.19","1.08","11","1","136902","404762","20130319"
"2","2","2","2","1","1","60.0","1.5","1.1400000000000001","0.12","0.24","11","1","36369","323812","20130319"
"2","1","2","3","578","2","745.0","27.72","11.85","0.96","14.91","11","1","125213","421947","20130319"
"2","1","1","1","656","3","62.0","1.15","0.61","0.11","0.43","11","1","80426","487152","20130319"
"2","2","1","1","578","1","6.0","0.11","0.06","0.01","0.04","11","1","42498","498837","20130319"
"2","1","1","1","609","8","195.0","4.12","1.8900000000000001","0.34","1.8900000000000001","11","1","52417","317794","20130319"
"2","1","1","1","578","3","67.0","1.34","0.65","0.12","0.5700000000000001","11","1","124450","434396","20130319"
"2","2","2","3","336","1","550.0","12.12","10.2","0.96","0.96","11","1","217868","454289","20130319"
"2","2","2","2","1","1","140.0","3.08","1.82","0.21","1.05","11","1","56597","338212","20130319"
"2","2","2","2","690","23","836.59","20.51","12.89","2.96","4.66","11","1","75858","360860","20130319"
"2","1","1","1","681","3","251.83","4.64","2.44","0.34","1.8599999999999999","11","1","146645","305769","20130319"
"2","2","2","3","578","1","269.66","10.84","5.0","0.52","5.32","11","1","95368","326804","20130319"
"2","2","2","3","84","1","100.0","3.0","1.8599999999999999","0.22","0.92","11","1","35811","347733","20130319"
"2","1","2","2","84","1","11.96","0.26","0.15","0.03","0.08","11","1","85633","342729","20130319"
"2","2","1","1","708","1","38.4","0.75","0.19","0.01","0.55","11","1","213808","357082","20130319"
"2","1","1","1","690","1","20.0","0.42","0.19","0.04","0.19","11","1","17543","360639","20130319"
"2","1","2","2","552","4","199.4","4.99","3.55","0.29","1.15","11","1","220578","446811","20130319"
"2","2","1","1","578","3","83.95","1.6400000000000001","0.84","0.03","0.77","11","1","150421","426751","20130319"
"2","1","1","1","431","1","23.0","0.52","0.22","0.04","0.26","11","1","131248","499218","20130319"
"2","1","1","1","578","1","100.0","1.73","1.1","0.13","0.5","11","1","30040","416260","20130319"
"2","1","1","1","578","1","10.0","0.14","0.08","0.03","0.03","11","1","126276","475071","20130319"
"2","2","1","1","578","2","115.0","1.99","1.15","0.03","0.81","11","1","153960","412505","20130319"
"2","2","1","1","84","18","403.34","4.84","2.02","0.19","2.63","11","1","26435","357850","20130319"
"2","1","1","1","708","2","30.5","0.6000000000000001","0.30000000000000004","0.06","0.24","11","1","77046","363505","20130319"
"2","2","2","2","1","1","6780.0","134.92","128.82","8.18","-2.08","11","1","186965","489495","20130319"
"2","1","1","1","578","2","23.4","0.45","0.23","0.05","0.17","11","1","42498","500533","20130319"
"2","1","2","3","372","1","136.7","2.52","1.11","0.21","1.2","11","1","105196","494721","20130319"
"2","2","1","1","1","1","63.0","1.44","0.63","0.02","0.79","11","1","146993","299513","20130319"
"2","2","2","2","708","9","999.04","21.98","18.09","1.6","2.29","11","1","49873","359890","20130319"
"2","1","1","1","713","14","294.63","4.5","1.33","0.54","2.63","11","1","172541","470267","20130319"
"2","2","2","2","1","1","6.5","0.14","0.03","0.05","0.06","11","1","47811","327129","20130319"
"2","1","1","1","681","1","150.0","3.44","1.46","0.19","1.79","11","1","133155","311708","20130319"
"2","2","2","2","708","10","330.64","8.94","2.96","0.85","5.13","11","1","212462","370936","20130319"
"2","2","2","2","1","7","857.9","19.3","15.02","1.35","2.93","11","1","67980","381390","20130319"
"2","1","2","2","65","4","530.0","12.19","10.3","0.68","1.21","11","1","174680","329575","20130319"
"2","2","1","1","578","2","58.0","1.31","0.49","0.02","0.8","11","1","157724","426767","20130319"
"2","1","2","3","578","1","48.0","1.62","0.64","0.08","0.9","11","1","223370","474773","20130319"
"2","1","2","2","656","16","1527.1","41.4","22.52","9.32","9.56","11","1","63637","504721","20130319"
"2","2","1","1","538","2","51.0","0.91","0.26","0.02","0.63","11","1","78263","454225","20130319"
"2","2","1","1","336","1","200.0","2.7","2.0","0.05","0.65","11","1","169689","450859","20130319"
"2","1","2","2","656","2","33.0","0.99","0.41000000000000003","0.07","0.51","11","1","225932","495781","20130319"
"2","2","1","1","708","1","16.8","0.33","0.13","0.01","0.19","11","1","91969","367018","20130319"
"2","2","1","1","713","6","163.5","3.16","0.8200000000000001","0.07","2.27","11","1","139422","345242","20130319"
"2","1","2","2","578","3","127.4","3.19","2.24","0.2","0.75","11","1","160380","421260","20130319"
"2","1","1","1","84","32","563.68","6.73","5.48","1.12","0.13","11","1","44691","345567","20130319"
"2","1","1","1","708","12","129.2","2.13","0.73","0.31","1.09","11","1","84595","372168","20130319"
"2","2","1","1","1","1","146.25","2.03","1.46","0.03","0.54","11","1","138249","474440","20130319"
"2","1","1","1","578","2","6.9","0.14","0.07","0.04","0.03","11","1","134771","315131","20130319"
"2","2","1","1","578","1","229.0","3.44","2.29","0.05","1.1","11","1","175555","421540","20130319"
"2","2","1","1","717","1","640.0","14.98","5.44","0.13","9.41","11","1","89588","458815","20130319"
"2","1","1","1","656","2","115.0","2.65","1.12","0.16","1.37","11","1","168679","393060","20130319"
"2","2","2","2","708","10","662.9","20.63","10.87","1.25","8.51","11","1","26458","368383","20130319"
"2","1","2","2","578","1","9.6","0.31","0.08","0.02","0.21","11","1","69349","415537","20130319"
"2","1","2","2","578","1","88.0","2.2","1.6400000000000001","0.12","0.44","11","1","47801","408578","20130319"
"2","2","2","2","708","8","153.95","4.47","2.18","0.55","1.74","11","1","102502","359300","20130319"
"2","2","1","1","708","2","50.65","1.02","0.51","0.02","0.49","11","1","189255","354523","20130319"
"2","2","2","2","656","2","83.6","2.26","0.63","0.19","1.44","11","1","78033","497281","20130319"
"2","1","1","1","708","1","120.0","2.7","1.16","0.16","1.38","11","1","205771","383194","20130319"
"2","1","2","2","578","1","17.0","0.5700000000000001","0.14","0.03","0.4","11","1","51864","415561","20130319"
"2","2","1","1","578","2","235.1","4.27","2.0","0.06","2.21","11","1","182156","335793","20130319"
"2","1","1","1","578","1","15.0","0.34","0.15","0.03","0.16","11","1","200591","400259","20130319"
"2","2","1","1","578","1","100.0","1.96","0.9500000000000001","0.03","0.98","11","1","127457","314747","20130319"
"2","2","1","1","713","2","86.0","1.5","0.86","0.03","0.61","11","1","89559","489474","20130319"
"2","2","1","1","628","2","436.4","8.38","3.71","0.1","4.57","11","1","217202","467632","20130319"
"2","2","2","2","713","1","43.0","1.42","0.56","0.1","0.76","11","1","204278","337854","20130319"
"2","1","1","1","578","9","65.45","1.22","0.64","0.2","0.38","11","1","139081","308925","20130319"
"2","1","1","1","578","4","43.5","0.93","0.34","0.11","0.48","11","1","85180","414107","20130319"
"2","1","2","2","578","1","62.0","2.0","0.77","0.09","1.1400000000000001","11","1","75304","309945","20130319"
"2","2","1","1","578","7","107.65","1.88","1.08","0.06","0.74","11","1","18236","300835","20130319"
"2","1","2","4","578","2","2125.0","77.6","50.66","2.8200000000000003","24.12","11","1","61924","336021","20130319"
"2","1","1","1","708","2","58.0","1.31","0.5700000000000001","0.1","0.64","11","1","52435","377855","20130319"
"2","2","2","2","681","1","6.99","0.18","0.07","0.05","0.06","11","1","205235","308449","20130319"
"2","1","2","2","628","1","5.0","0.16","0.06","0.02","0.08","11","1","39468","312020","20130319"
"2","2","2","2","578","2","46.5","1.3900000000000001","0.6000000000000001","0.15","0.64","11","1","83710","436522","20130319"
"2","2","1","1","656","1","110.1","2.16","1.1","0.03","1.03","11","1","211226","397156","20130319"
"2","1","1","1","578","2","42.85","0.78","0.24","0.07","0.47000000000000003","11","1","22520","409166","20130319"
"2","1","1","1","578","3","108.9","2.0","1.05","0.17","0.78","11","1","220720","473942","20130319"
"2","2","1","1","628","1","42.0","0.78","0.42","0.01","0.35000000000000003","11","1","188686","310412","20130319"
"2","1","1","1","681","1","80.0","1.74","0.78","0.11","0.85","11","1","59841","468748","20130319"
"2","2","1","1","681","4","48.75","0.8300000000000001","0.24","0.03","0.56","11","1","42829","298830","20130319"
"2","1","2","2","552","11","305.82","7.59","3.63","0.51","3.45","11","1","131004","444631","20130319"
"2","1","1","1","713","11","128.6","2.5","1.26","0.31","0.93","11","1","74787","351418","20130319"
"2","2","1","1","578","9","176.0","3.07","0.88","0.09","2.1","11","1","106035","435958","20130319"
"2","2","2","2","578","3","99.68","3.2","1.6","0.26","1.34","11","1","213160","441804","20130319"
"2","2","2","2","681","1","36.4","0.96","0.47000000000000003","0.09","0.4","11","1","169424","304793","20130319"
"2","2","2","2","578","3","212.41","5.31","3.01","0.39","1.9100000000000001","11","1","41577","416835","20130319"
"2","1","2","3","578","1","110.0","4.32","1.74","0.18","2.4","11","1","84895","476583","20130319"
"2","1","2","2","681","5","272.47","7.08","2.44","0.39","4.25","11","1","42829","298470","20130319"
"2","1","2","2","578","7","696.0","22.76","10.77","0.93","11.06","11","1","184033","427493","20130319"
"2","1","2","3","336","4","1150.0","25.29","20.71","1.5899999999999999","2.99","11","1","49438","451164","20130319"
